role,player_id,matches,first_half_score,second_half_score,half_score_change,rolling_score_volatility,rolling_rank_volatility,mean_absolute_score_change,median_absolute_score_change,score_std_across_matches,rank_std_across_matches,coefficient_of_variation,temporal_reliability_index,first_half_vs_second_half_correlation
CB,131244,2,55.18973995532066,32.42784609891899,-22.76189385640167,,,22.76189385640167,22.76189385640167,16.095089498510035,12.020815280171307,0.3673940409302391,83.90491050148997,
CB,138871,1,40.61441882749305,,,,,,,,,,100.0,
CB,138918,1,44.249087764090085,,,,,,,,,,100.0,
CB,138958,1,34.54343998617101,,,,,,,,,,100.0,
CB,138998,1,51.60369366854523,,,,,,,,,,100.0,
CB,139023,1,54.73756532725715,,,,,,,,,,100.0,
CB,139556,2,39.601648035367546,29.485919310601616,-10.11572872476593,,,10.11572872476593,10.11572872476593,7.152900377925536,4.949747468305833,0.20706765783504935,92.84709962207447,
CB,157113,2,,45.52047915123216,,,,,,,,,100.0,
CB,202502,1,30.864178167718514,,,,,,,,,,100.0,
CB,313283,1,18.390029754056844,,,,,,,,,,100.0,
CB,314452,1,32.95212009227011,,,,,,,,,,100.0,
CB,314466,2,61.81689959943005,42.644163104306685,-19.172736495123367,,,19.172736495123367,19.172736495123367,13.557171989604532,6.363961030678928,0.2595641215723449,86.44282801039547,
CB,3252,2,71.06432115339379,39.082042700813496,-31.982278452580296,,,31.982278452580296,31.982278452580296,22.61488597161593,10.606601717798213,0.41063336419438423,77.38511402838407,
CB,338916,1,24.888065370640458,,,,,,,,,,100.0,
CB,363239,1,14.250885672142108,,,,,,,,,,100.0,
CB,407555,1,18.24471529081395,,,,,,,,,,100.0,
CB,409303,2,50.71278024021199,48.81574745980154,-1.8970327804104485,,,1.8970327804104485,1.8970327804104485,1.341404743161399,0.7071067811865476,0.02695518107540973,98.6585952568386,
CB,419744,1,37.41232335140982,,,,,,,,,,100.0,
CB,442093,1,41.170918789605665,,,,,,,,,,100.0,
CB,477678,1,,,,,,,,,,,100.0,
CB,49760,1,41.871668573424536,,,,,,,,,,100.0,
CB,523290,1,21.56293718388801,,,,,,,,,,100.0,
CB,524512,1,,,,,,,,,,,100.0,
CB,67700,1,45.69230756817049,,,,,,,,,,100.0,
CB,7378,1,,,,,,,,,,,100.0,
CF,138876,1,13.74845083082415,,,,,,,,,,100.0,
CF,139566,1,57.579994830713325,,,,,,,,,,100.0,
CF,140867,1,7.644041885031711,,,,,,,,,,100.0,
CF,140886,1,52.788893390958364,,,,,,,,,,100.0,
CF,140887,2,48.58386442606156,,,,,,,,,,100.0,
CF,143504,2,41.861238609129416,14.251206040727872,-27.610032568401543,,,27.610032568401543,27.610032568401543,19.52324125789816,7.0710678118654755,0.6958613683550433,80.47675874210184,
CF,155347,1,1.630543831335099,,,,,,,,,,100.0,
CF,155705,1,40.701703682669525,,,,,,,,,,100.0,
CF,312936,1,26.435771004110144,,,,,,,,,,100.0,
CF,3319,1,36.78203227796048,,,,,,,,,,100.0,
CF,335508,2,,9.803526859446166,,,,,,,,,100.0,
CF,360406,1,20.728064514146517,,,,,,,,,,100.0,
CF,38423,1,,,,,,,,,,,100.0,
CF,406860,1,0.0,,,,,,,,,,100.0,
CF,409301,2,35.796115893118,51.84901509522247,16.05289920210447,,,16.05289920210447,16.05289920210447,11.35111388351219,4.242640687119285,0.25902440342116073,88.64888611648782,
CF,442295,1,,,,,,,,,,,100.0,
CF,453613,1,56.56491226217099,,,,,,,,,,100.0,
CF,477684,1,14.586562408989792,,,,,,,,,,100.0,
CF,503286,1,21.446931114212727,,,,,,,,,,100.0,
CF,522342,2,39.83469878841762,19.243863395528138,-20.59083539288948,,,20.59083539288948,20.59083539288948,14.55991933660812,4.242640687119285,0.4929002602085902,85.44008066339188,
CF,524001,1,97.36462889415857,,,,,,,,,,100.0,
CF,524392,1,10.281009715394761,,,,,,,,,,100.0,
FB,135851,1,54.84551667433602,,,,,,,,,,100.0,
FB,138910,1,,,,,,,,,,,100.0,
FB,138927,2,43.32767896509915,40.58058436443765,-2.747094600661505,,,2.747094600661505,2.747094600661505,1.942489220688701,2.1213203435596424,0.046300308065246765,98.0575107793113,
FB,138945,1,,,,,,,,,,,100.0,
FB,138949,1,57.38432044989381,,,,,,,,,,100.0,
FB,138956,1,37.468569287178184,,,,,,,,,,100.0,
FB,139560,2,,43.46769306866298,,,,,,,,,100.0,
FB,140876,1,54.42762326927037,,,,,,,,,,100.0,
FB,142789,1,46.727154748549204,,,,,,,,,,100.0,
FB,152015,2,34.28988319402326,,,,,,,,,,100.0,
FB,178342,1,41.02511469868573,,,,,,,,,,100.0,
FB,261620,1,,,,,,,,,,,100.0,
FB,313287,1,31.7694307604262,,,,,,,,,,100.0,
FB,314451,1,49.15071145212611,,,,,,,,,,100.0,
FB,337496,1,50.913983508773164,,,,,,,,,,100.0,
FB,339278,1,73.43812290308882,,,,,,,,,,100.0,
FB,406864,1,40.06847706546014,,,,,,,,,,100.0,
FB,442100,1,,,,,,,,,,,100.0,
FB,442286,1,,,,,,,,,,,100.0,
FB,522352,2,26.407484724829814,40.91810713581957,14.510622410989754,,,14.510622410989754,14.510622410989754,10.260559506048345,4.949747468305833,0.30480413829218667,89.73944049395166,
FB,523293,1,56.386751188306405,,,,,,,,,,100.0,
FB,523318,1,,,,,,,,,,,100.0,
FB,81364,1,35.24726822546731,,,,,,,,,,100.0,
GK,138841,1,57.142857142857146,,,,,,,,,,100.0,
GK,138950,1,42.857142857142854,,,,,,,,,,100.0,
GK,138972,1,35.714285714285715,,,,,,,,,,100.0,
GK,139011,1,7.142857142857143,,,,,,,,,,100.0,
GK,139555,1,92.85714285714286,,,,,,,,,,100.0,
GK,139572,2,78.57142857142857,21.428571428571427,-57.14285714285714,,,57.14285714285714,57.14285714285714,40.40610178208843,5.656854249492381,0.8081220356417685,59.59389821791157,
GK,317852,1,85.71428571428571,,,,,,,,,,100.0,
GK,362445,1,50.0,,,,,,,,,,100.0,
GK,36951,1,71.42857142857143,,,,,,,,,,100.0,
GK,477675,1,14.285714285714286,,,,,,,,,,100.0,
GK,522350,2,64.28571428571429,100.0,35.71428571428571,,,35.71428571428571,35.71428571428571,25.253813613805264,3.5355339059327378,0.3074377309506728,74.74618638619474,
GK,523287,1,28.571428571428573,,,,,,,,,,100.0,
MID,10689,1,48.91229085904863,,,,,,,,,,100.0,
MID,138860,1,42.27483852072131,,,,,,,,,,100.0,
MID,138872,2,49.683331882183424,51.58118486750491,1.8978529853214852,,,1.8978529853214852,1.8978529853214852,1.3419847156159554,0.7071067811865476,0.026504539965033422,98.65801528438405,
MID,138873,1,46.0282924355309,,,,,,,,,,100.0,
MID,138983,1,56.666894105087195,,,,,,,,,,100.0,
MID,139565,1,44.1910623009916,,,,,,,,,,100.0,
MID,140872,1,60.41247374628077,,,,,,,,,,100.0,
MID,141254,1,43.941719793137665,,,,,,,,,,100.0,
MID,143166,1,47.487593121547555,,,,,,,,,,100.0,
MID,144436,1,74.35279133462052,,,,,,,,,,100.0,
MID,151743,1,45.79519516909256,,,,,,,,,,100.0,
MID,194912,2,35.133415698116345,49.174291522640594,14.04087582452425,,,14.04087582452425,14.04087582452425,9.928398509319354,13.435028842544403,0.2355276602012713,90.07160149068065,
MID,21648,1,30.7538707555407,,,,,,,,,,100.0,
MID,312413,1,34.82032483186969,,,,,,,,,,100.0,
MID,313284,1,40.93599346477793,,,,,,,,,,100.0,
MID,407207,2,46.412291130907796,59.61430481694172,13.202013686033922,,,13.202013686033922,13.202013686033922,9.335233402712195,11.313708498984761,0.17609229682906813,90.66476659728781,
MID,407506,1,38.9601460812214,,,,,,,,,,100.0,
MID,407852,1,35.65836624888512,,,,,,,,,,100.0,
MID,415853,2,51.69079275845904,56.06907730356646,4.3782845451074195,,,4.3782845451074195,4.3782845451074195,3.095914691809715,1.4142135623730951,0.05745951048433406,96.90408530819029,
MID,416303,1,40.84210652204243,,,,,,,,,,100.0,
MID,424979,1,47.315334279618725,,,,,,,,,,100.0,
MID,442288,1,52.571054832570155,,,,,,,,,,100.0,
MID,442292,1,47.756375391349515,,,,,,,,,,100.0,
MID,443951,1,32.68520490139892,,,,,,,,,,100.0,
MID,446355,1,45.84278804297592,,,,,,,,,,100.0,
MID,450709,1,47.43002637556043,,,,,,,,,,100.0,
MID,477679,1,58.12264257098215,,,,,,,,,,100.0,
MID,477680,1,58.286855238057576,,,,,,,,,,100.0,
MID,477682,1,48.05686982382984,,,,,,,,,,100.0,
MID,523308,1,60.9654901595928,,,,,,,,,,100.0,
MID,523973,1,26.687362053560957,,,,,,,,,,100.0,
MID,523996,2,39.10847880486695,34.23273988661388,-4.87573891825307,,,4.87573891825307,4.87573891825307,3.4476680523919074,3.5355339059327378,0.0940172010747452,96.5523319476081,
MID,7183,1,66.35163194233907,,,,,,,,,,100.0,
MID,7717,2,65.80226172518357,33.83413504332702,-31.968126681856553,,,31.968126681856553,31.968126681856553,22.604879158571375,24.041630560342615,0.4537474234659496,77.39512084142862,
WINGER,132614,1,,,,,,,,,,,100.0,
WINGER,134249,1,52.899252905000004,,,,,,,,,,100.0,
WINGER,138895,1,26.532377327747124,,,,,,,,,,100.0,
WINGER,139001,1,70.44285503118236,,,,,,,,,,100.0,
WINGER,139008,1,47.002414394888206,,,,,,,,,,100.0,
WINGER,139017,1,46.91605732033602,,,,,,,,,,100.0,
WINGER,139568,2,,,,,,,,,,,100.0,
WINGER,140874,1,38.533380745089666,,,,,,,,,,100.0,
WINGER,143490,1,,,,,,,,,,,100.0,
WINGER,16208,1,32.36938929062456,,,,,,,,,,100.0,
WINGER,179311,1,,,,,,,,,,,100.0,
WINGER,199611,2,88.0829768690421,54.9790014768028,-33.1039753922393,,,33.1039753922393,33.1039753922393,23.408045484085008,4.242640687119285,0.3272434193171476,76.59195451591499,
WINGER,275341,1,47.678024571850706,,,,,,,,,,100.0,
WINGER,312935,2,74.7997582367824,,,,,,,,,,100.0,
WINGER,3302,1,68.87219945332407,,,,,,,,,,100.0,
WINGER,34952,1,36.75599059700859,,,,,,,,,,100.0,
WINGER,358748,1,41.825405290148154,,,,,,,,,,100.0,
WINGER,381935,2,,,,,,,,,,,100.0,
WINGER,409131,1,,,,,,,,,,,100.0,
WINGER,435547,1,22.428798443782703,,,,,,,,,,100.0,
WINGER,449373,1,54.61957148854774,,,,,,,,,,100.0,
WINGER,460266,1,,,,,,,,,,,100.0,
WINGER,477555,1,,,,,,,,,,,100.0,
WINGER,523312,1,56.25504082721375,,,,,,,,,,100.0,
WINGER,7550,2,68.70091212829017,,,,,,,,,,100.0,
CB,__ROLE__,10,,,,,,,,,,,97.56954189676729,0.3566740860027217
CF,__ROLE__,10,,,,,,,,,,,97.9348057055446,-0.9776543636772173
FB,__ROLE__,10,,,,,,,,,,,99.4694326640549,
GK,__ROLE__,10,,,,,,,,,,,94.52834038367553,
MID,__ROLE__,10,,,,,,,,,,,98.53664474910528,-0.2157998396365974
WINGER,__ROLE__,9,,,,,,,,,,,99.0636781806366,
